family	packageId	mod	kind	defName	label	techLevel	marketValue	category	tradeability	thingCategories	destroyOnDrop	menuHidden	weaponTags	apparelTags	sourceFile
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_10mm_Pistol	10mm Pistol	Industrial	280.0	Item		WeaponsRanged	false	false	FCP_10mm_Pistol,FCP_Pistol,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_10mm_Pistol_MkII	10mm Pistol MkII	Industrial	350.0	Item		WeaponsRanged	false	false	FCP_10mm_Pistol_MkII,FCP_Pistol,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_10mm_SMG	10mm SMG	Industrial	420.0	Item		WeaponsRanged	false	false	FCP_10mm_SMG,FCP_SMG,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\SMG_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_127mm_Pistol	12.7mm Pistol	Industrial	980.0	Item		WeaponsRanged	false	false	FCP_127mm_Pistol,FCP_Pistol,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_127mm_SMG	12.7mm SMG	Industrial	880.0	Item		WeaponsRanged	false	false	FCP_127mm_SMG,FCP_SMG,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\SMG_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_14mm_Pistol	14mm Pistol	Industrial	1100.0	Item		WeaponsRanged	false	false	FCP_14mm_Pistol,FCP_Pistol,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_223_Pistol	.223 Pistol	Industrial	450.0	Item		WeaponsRanged	false	false	FCP_223_Pistol,FCP_Pistol,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Pistol_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_223_Rangemaster	.223 Rangemaster Rifle	Industrial	480.0	Item		WeaponsRanged	false	false	FCP_223_RangeMaster,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_223_Rifle	.223 Rifle	Industrial	450.0	Item		WeaponsRanged	false	false	FCP_223_Rifle,FCP_Rifle,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_32_Hunting_Rifle	.32 Hunting Rifle	Industrial	280.0	Item		WeaponsRanged	false	false	FCP_32_Hunting_Rifle,FCP_Rifle,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Rifle_Defs.xml
FCP	Rick.FCP.BallisticWeapons	FCP - Ballistic Weapons	weapon	FCP_Gun_357_Revolver	.357 Revolver	Industrial	380.0	Item		WeaponsRanged	false	false	FCP_357_Revolver,FCP_Revolver,Gun		D:\Steam\steamapps\common\RimWorld\Mods\FCP-Ballistic-Weapons\1.6\Defs\WeaponDefs\Revolver_Defs.xml
