StringId	Text
Part1|Keyed/Greenway_LanguageData.xml|AlertGauranlenTreeWithoutDryadTypeLabel	Treefather has no treeminder caste
Part1|Keyed/Greenway_LanguageData.xml|AlertGauranlenTreeWithoutDryadTypeDesc	This Treefather is not producing any treeminders. Assign a\n    caste to begin the symbiotic cycle.
Part1|Keyed/Greenway_LanguageData.xml|AlertConnectedPawnNotAssignedToPlantCuttingDesc	The connected person is not assigned to plant\n    cutting. They must help maintain the Treefather's health.
Part1|Keyed/Greenway_LanguageData.xml|ChangeMode	Change caste
Part1|Keyed/Greenway_LanguageData.xml|ChooseProductionModeInitialDesc	Choose which treeminder caste the Treefather will produce first.
Part1|Keyed/Greenway_LanguageData.xml|CommandHealInHealingPodDesc	Order a treeminder to heal in the pod, restoring its health with\n    Treefather sap.
Part1|Keyed/Greenway_LanguageData.xml|LetterTextPawnConnected	{PAWN_nameDef} has connected to a Treefather, beginning a new symbiotic\n    relationship.
Part1|Keyed/Greenway_LanguageData.xml|LetterTextConnectedTreeDestroyed	The Treefather that {PAWN_nameDef} was connected to has been\n    destroyed. The symbiotic bond is broken.
Part1|Keyed/Greenway_LanguageData.xml|GauranlenModeChangeDescFull	Changing {TREE_definite}'s treeminder caste takes time and energy.\n    After the connected person interacts with the tree, all treeminders will spend {DURATION} days\n    inside cocoons while they morph to the selected caste. Existing cocoons will cancel their\n    transformation so they can morph to the current caste.
Part1|Keyed/Greenway_LanguageData.xml|ChangeModeDesc	Change the type of treeminders created by {TREE_definite}.
Part1|Keyed/Greenway_LanguageData.xml|ConnectionStrengthDesc	Determines how many treeminders this tree can support.
Part1|Keyed/Greenway_LanguageData.xml|MaximumDryads	Max treeminders
Part1|Keyed/Greenway_LanguageData.xml|MaximumDryadsDesc	The maximum number of treeminders this tree can support.
Part1|Keyed/Greenway_LanguageData.xml|MaxDryadsBasedOnConnectionStrength	Max treeminders based on connection strength
Part1|Keyed/Greenway_LanguageData.xml|DesiredConnectionStrengthDesc	{CONNECTEDPAWN_nameDef} will prune {TREE_definite} often enough to\n    keep connection strength above this level. Higher connection strength allows supporting more\n    treeminders, but also falls faster and thus takes more frequent pruning to maintain. You can\n    click on the bar to adjust the desired target connection strength. Connection strength fall per\n    day: {FALL} Connection strength is affected by nearby buildings.
Part1|Keyed/Greenway_LanguageData.xml|WaitingForConnectorToChangeCaste	Waiting for {CONNECTEDPAWN_nameDef} to change treeminder caste.
Part1|Keyed/Greenway_LanguageData.xml|GauranlenTreeMode	Treeminder caste
Part1|Keyed/Greenway_LanguageData.xml|GauranlenTreeModeDesc	Determines the currently created treeminder caste.
Part1|Keyed/Greenway_LanguageData.xml|SpawningDryadIn	Spawning {DRYAD_label} treeminder in {TIME}
Part1|Keyed/Greenway_LanguageData.xml|ChangingDryadIntoType	Morphing {DRYAD_labelShort} treeminder into {TYPE_label}.
Part1|Keyed/Greenway_LanguageData.xml|DryadProducesResourcesDesc	{DRYAD_labelPlural} treeminders produce {RESOURCES} every {DURATION}.
Part1|Keyed/Greenway_LanguageData.xml|DryadCannotChangeMaster	{ANIMAL_nameDef} is connected to {MASTER_nameDef} through\n    {ANIMAL_possessive} Treefather. {ANIMAL_possessive} master cannot be changed.
Part1|Keyed/Greenway_LanguageData.xml|ConnectionStrengthTooWeakForGaumakerPod	Connection strength too low to create Treefather pod.
Part1|Keyed/Greenway_LanguageData.xml|DryadPlural	Treeminders
Part1|Keyed/Greenway_LanguageData.xml|NotEnoughConnectionStrengthForSingleDryad	{0} connection strength needed to support a treeminder.
Part1|Keyed/Greenway_LanguageData.xml|MessageRitualRolePawnRecentlyTornConnection	{PAWN_nameDef}'s connection to the Treefather was\n    recently torn. They cannot reconnect for a while.
Part1|Keyed/Greenway_LanguageData.xml|RitualTargetUnconnectedGaruanlenTreeInfo	an unconnected Treefather
Part1|Keyed/Greenway_LanguageData.xml|RitualAttachedOutcome_GauranlenTreePod_ExtraDesc	The ritual has induced a Treefather pod to\n    sprout nearby.
Part1|Keyed/HHTools_TransportOverrides.xml|MessageTransportPodsArrived	Your cargo bots have arrived.
Part1|Keyed/HHTools_TransportOverrides.xml|MessageTransportPodsArrivedAndLost	Your cargo bots have arrived, but since there were no colonists inside, the contents are lost.
Part1|Keyed/HHTools_TransportOverrides.xml|LetterTransportPodsLandedInEnemyBase	Your cargo bots have arrived at {0}.
Part1|Keyed/HHTools_TransportOverrides.xml|Reward_Pawn_DropPod	a {0_age}-year-old {0_title} named {0_nameDef} will arrive in a cargo bot {0_relationInfoInParentheses}
Part1|Keyed/HHTools_TransportOverrides.xml|Reward_Items	cargo bots with the following resources will arrive (total value {1}):\n\n{0}
Part1|Keyed/HHTools_TransportOverrides.xml|MessageTransporterUnreachable	Some cargo bots are unreachable.
Part1|Keyed/HHTools_TransportOverrides.xml|MessageTransportersNotAdjacent	All pod launchers connected to the selected cargo bots must be adjacent.
Part1|Keyed/HHTools_TransportOverrides.xml|ShuttleBlocked	Vertibird could not land on pad: {0}
Part1|Keyed/HHTools_TransportOverrides.xml|MessageShuttleArrivedContentsLost	The vertibird arrived, but since there were no colonists inside, the contents were lost.
Part1|Keyed/HHTools_TransportOverrides.xml|ShuttleCannotLand_Fogged	Cannot land in undiscovered area.
Part1|Keyed/HHTools_TransportOverrides.xml|ShuttleCannotLand_Unwalkable	Area must be walkable.
Part1|Keyed/HHTools_TransportOverrides.xml|ShuttleCannotLand_Unaffordable	Terrain does not support {0}.
Part1|Keyed/HHTools_TransportOverrides.xml|MessageMissionGetBackToShuttle	You defeated the {FACTION_pawnsPlural}! Get back on the vertibird to launch it.
Part1|Keyed/HHTools_TransportOverrides.xml|AsteroidLetterText	You've discovered the location of an asteroid orbiting the planet. It contains significant amounts of {RESOURCE}, and potentially other resources.\n\n\nOrbital miners steer valuable asteroids into planetary orbit so that they can be easily mined and sold to orbital traders. You do not detect any signs of life from this asteroid.\n\n\nYou can reach the asteroid with cargo bots, vertibirds, or a gravship.
Part1|Keyed/HHTools_TransportOverrides.xml|GravcoreMechRelayRaidLetterText	Mechanoids are arriving to defend the relay!\n\nThey are arriving by cargo bot and will attack immediately.
Part1|Keyed/HHTools_TransportOverrides.xml|ConfirmLoseShuttle	Reforming a caravan will abandon your vertibird. Are you sure you want to continue?\n\nTo leave with your vertibird, select the vertibird, then select 'launch'.
Part1|Keyed/HHTools_TransportOverrides.xml|CaravanShuttleFuel	Vertibird fuel
Part1|Keyed/HHTools_TransportOverrides.xml|CommandShuttleNoPilot	No colonist capable of piloting vertibird. Requires minimum piloting ability of 10%.
Part1|Keyed/HHTools_TransportOverrides.xml|CommandRefuelShuttleFromCargo	Refuel from cargo
Part1|Keyed/HHTools_TransportOverrides.xml|CommandRefuelShuttleFromCargoDesc	Refuel the passenger vertibird using chemfuel stored within.
Part1|Keyed/HHTools_TransportOverrides.xml|NoFuelInShuttle	No fuel in vertibird.
Part1|Keyed/HHTools_TransportOverrides.xml|ShuttleFullyFueled	Vertibird is already fully fueled
Part1|Keyed/HHTools_TransportOverrides.xml|ConfirmShuttleNotEnoughFuelToReturn	The vertibird does not have enough fuel to return from this destination. It may be stranded.\n\nYou currently have {0} fuel but need {1} fuel for a return flight.\n\nAre you sure you want to continue?
Part1|Keyed/HHTools_TransportOverrides.xml|RefugeePodCrashLabel	Cargo bot crash
Part1|Keyed/HHTools_TransportOverrides.xml|RefugeePodCrash	{PAWN_titleIndef} named {PAWN_nameDef} is crashing in a cargo bot nearby. If {PAWN_pronoun} survives the impact, {PAWN_pronoun} will be badly wounded.
Part1|Keyed/HHTools_TransportOverrides.xml|GhoulPodCrashLabel	Cargo bot crash
Part1|Keyed/HHTools_TransportOverrides.xml|GhoulPodCrashText	A cargo bot carrying a ravenous hostile ghoul has landed nearby.\n\nThe ghoul is currently in shock, but it will soon recover and attack anyone it sees. It can be captured to a holding platform for further study.\n\nCapture or kill it before it wakes.
Part1|Keyed/Hubris_Overrides.xml|LetterLabelPsylinkLevelGained	Cryptid insight gained
